gene_symbol,ensembl_id,uniprot_id,gene_description,chromosome,protein_class,evidence,rna_tissue_specificity,rna_tissue_distribution
TBC1D7,ENSG00000145979,Q9P0N9,TBC1 domain family member 7,6,"Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,Low tissue specificity,Detected in all
FARS2,ENSG00000145982,O95363,"Phenylalanyl-tRNA synthetase 2, mitochondrial",6,"Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
GFOD1,ENSG00000145990,Q9NXC2,Glucose-fructose oxidoreductase domain containing 1,6,"Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,Low tissue specificity,Detected in many
CDKAL1,ENSG00000145996,Q5VV42,CDK5 regulatory subunit associated protein 1 like 1,6,"Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,Low tissue specificity,Detected in all
PSD2,ENSG00000146005,Q9BQI7,Pleckstrin and Sec7 domain containing 2,5,Predicted intracellular proteins,Evidence at protein level,Tissue enriched,Detected in some
LRRTM2,ENSG00000146006,O43300,Leucine rich repeat transmembrane neuronal 2,5,"Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,Tissue enriched,Detected in some
ZMAT2,ENSG00000146007,Q96NC0,Zinc finger matrin-type 2,5,"Essential proteins, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
GFRA3,ENSG00000146013,O60609,GDNF family receptor alpha 3,5,Predicted membrane proteins,Evidence at protein level,Tissue enhanced,Detected in many
KLHL3,ENSG00000146021,Q9UH77,Kelch like family member 3,5,"Disease related genes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Transporters",Evidence at protein level,Tissue enhanced,Detected in many
DCDC2,ENSG00000146038,Q9UHG0,Doublecortin domain containing 2,6,"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,Tissue enhanced,Detected in many
SLC17A4,ENSG00000146039,Q9Y2C5,Solute carrier family 17 member 4,6,"Metabolic proteins, Predicted membrane proteins, Transporters",Evidence at transcript level,Group enriched,Detected in some
H2BC1,ENSG00000146047,Q96A08,H2B clustered histone 1,6,Predicted intracellular proteins,Evidence at protein level,Tissue enriched,Detected in single
TRIM7,ENSG00000146054,Q9C029,Tripartite motif containing 7,5,"Cancer-related genes, Enzymes, Predicted intracellular proteins",Evidence at protein level,Tissue enhanced,Detected in many
TRIM41,ENSG00000146063,Q8WV44,Tripartite motif containing 41,5,"Enzymes, Predicted intracellular proteins",Evidence at protein level,Group enriched,Detected in all
HIGD2A,ENSG00000146066,Q9BW72,HIG1 hypoxia inducible domain family member 2A,5,"Essential proteins, Metabolic proteins, Predicted membrane proteins, Transporters",Evidence at protein level,Low tissue specificity,Detected in all
FAM193B,ENSG00000146067,Q96PV7,Family with sequence similarity 193 member B,5,Predicted intracellular proteins,Evidence at protein level,Low tissue specificity,Detected in all
PLA2G7,ENSG00000146070,Q13093,Phospholipase A2 group VII,6,"Candidate cardiovascular disease genes, Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted secreted proteins",Evidence at protein level,Tissue enhanced,Detected in many
TNFRSF21,ENSG00000146072,O75509,TNF receptor superfamily member 21,6,"CD markers, Plasma proteins, Predicted membrane proteins",Evidence at protein level,Tissue enhanced,Detected in all
RNF44,ENSG00000146083,Q7L0R7,Ring finger protein 44,5,Predicted intracellular proteins,Evidence at protein level,Low tissue specificity,Detected in all
MMUT,ENSG00000146085,P22033,Methylmalonyl-CoA mutase,6,"Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,Tissue enhanced,Detected in all
RASGEF1C,ENSG00000146090,Q8N431,RasGEF domain family member 1C,5,Predicted intracellular proteins,Evidence at transcript level,Tissue enriched,Detected in some
DOK3,ENSG00000146094,Q7L591,Docking protein 3,5,Predicted intracellular proteins,Evidence at protein level,Group enriched,Detected in many
ABT1,ENSG00000146109,Q9ULW3,Activator of basal transcription 1,6,"Essential proteins, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
PPP1R18,ENSG00000146112,Q6NYC8,Protein phosphatase 1 regulatory subunit 18,6,Predicted intracellular proteins,Evidence at protein level,Low tissue specificity,Detected in all
DAAM2,ENSG00000146122,Q86T65,Dishevelled associated activator of morphogenesis 2,6,"Disease related genes, Human disease related genes, Predicted intracellular proteins",Evidence at protein level,Tissue enhanced,Detected in all
PRIM2,ENSG00000146143,P49643,DNA primase subunit 2,6,"Essential proteins, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,Tissue enhanced,Detected in all
MLIP,ENSG00000146147,Q5VWP3,Muscular LMNA interacting protein,6,"Disease related genes, Predicted intracellular proteins",Evidence at protein level,Group enriched,Detected in many
HMGCLL1,ENSG00000146151,Q8TB92,3-hydroxymethyl-3-methylglutaryl-CoA lyase like 1,6,"Enzymes, Metabolic proteins, Predicted intracellular proteins",Evidence at protein level,Tissue enhanced,Detected in many
LGSN,ENSG00000146166,Q5TDP6,"Lengsin, lens protein with glutamine synthetase domain",6,Predicted intracellular proteins,Evidence at protein level,Group enriched,Detected in some
FGD2,ENSG00000146192,Q7Z6J4,"FYVE, RhoGEF and PH domain containing 2",6,Predicted intracellular proteins,Evidence at protein level,Tissue enhanced,Detected in many
SCUBE3,ENSG00000146197,Q8IX30,"Signal peptide, CUB domain and EGF like domain containing 3",6,"Disease related genes, Human disease related genes, Predicted secreted proteins",Evidence at protein level,Group enriched,Detected in many
ANO7,ENSG00000146205,Q6IWH7,Anoctamin 7,2,"Predicted intracellular proteins, Predicted membrane proteins, Transporters",Evidence at protein level,Group enriched,Detected in some
CRIP3,ENSG00000146215,Q6Q6R5,Cysteine rich protein 3,6,Predicted intracellular proteins,Evidence at protein level,Tissue enhanced,Detected in many
TTBK1,ENSG00000146216,Q5TCY1,Tau tubulin kinase 1,6,"Enzymes, Predicted intracellular proteins",Evidence at protein level,Group enriched,Detected in some
TCTE1,ENSG00000146221,Q5JU00,T-complex-associated-testis-expressed 1,6,Predicted intracellular proteins,Evidence at protein level,Group enriched,Detected in some
RPL7L1,ENSG00000146223,Q6DKI1,Ribosomal protein L7 like 1,6,"Essential proteins, Predicted intracellular proteins, Ribosomal proteins",Evidence at protein level,Low tissue specificity,Detected in all
NFKBIE,ENSG00000146232,O00221,NFKB inhibitor epsilon,6,"Cancer-related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors",Evidence at protein level,Tissue enhanced,Detected in all
CYP39A1,ENSG00000146233,Q9NYL5,Cytochrome P450 family 39 subfamily A member 1,6,"Enzymes, Metabolic proteins, Predicted membrane proteins",Evidence at protein level,Tissue enriched,Detected in many
TPBG,ENSG00000146242,Q13641,Trophoblast glycoprotein,6,Predicted membrane proteins,Evidence at protein level,Low tissue specificity,Detected in many
IRAK1BP1,ENSG00000146243,Q5VVH5,Interleukin 1 receptor associated kinase 1 binding protein 1,6,Predicted intracellular proteins,Evidence at protein level,Low tissue specificity,Detected in many
PHIP,ENSG00000146247,Q8WWQ0,Pleckstrin homology domain interacting protein,6,"Disease related genes, Human disease related genes, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
PRSS35,ENSG00000146250,Q8N3Z0,Serine protease 35,6,"Enzymes, Predicted secreted proteins",Evidence at protein level,Tissue enhanced,Detected in many
MMS22L,ENSG00000146263,Q6ZRQ5,"MMS22 like, DNA repair protein",6,"Essential proteins, Predicted intracellular proteins",Evidence at protein level,Tissue enhanced,Detected in many
FAXC,ENSG00000146267,Q5TGI0,"Failed axon connections homolog, metaxin like GST domain containing",6,Predicted intracellular proteins,Evidence at protein level,Tissue enhanced,Detected in many
GABRR1,ENSG00000146276,P24046,Gamma-aminobutyric acid type A receptor subunit rho1,6,"Predicted membrane proteins, Transporters",Evidence at transcript level,Tissue enriched,Detected in some
PNRC1,ENSG00000146278,Q12796,Proline rich nuclear receptor coactivator 1,6,Predicted intracellular proteins,Evidence at protein level,Low tissue specificity,Detected in all
PM20D2,ENSG00000146281,Q8IYS1,Peptidase M20 domain containing 2,6,"Enzymes, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
RARS2,ENSG00000146282,Q5T160,"Arginyl-tRNA synthetase 2, mitochondrial",6,"Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
SCML4,ENSG00000146285,Q8N228,Scm polycomb group protein like 4,6,Predicted intracellular proteins,Evidence at protein level,Tissue enhanced,Detected in some
TBC1D32,ENSG00000146350,Q96NH3,TBC1 domain family member 32,6,"Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,Tissue enhanced,Detected in many
CLVS2,ENSG00000146352,Q5SYC1,Clavesin 2,6,Predicted intracellular proteins,Evidence at protein level,Group enriched,Detected in some
GPR6,ENSG00000146360,P46095,G protein-coupled receptor 6,6,"G-protein coupled receptors, Predicted membrane proteins",Evidence at protein level,Tissue enriched,Detected in some
RNF217,ENSG00000146373,Q8TC41,Ring finger protein 217,6,"Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,Tissue enhanced,Detected in all
RSPO3,ENSG00000146374,Q9BXY4,R-spondin 3,6,"Cancer-related genes, Predicted secreted proteins",Evidence at protein level,Tissue enhanced,Detected in many
ARHGAP18,ENSG00000146376,Q8N392,Rho GTPase activating protein 18,6,Predicted intracellular proteins,Evidence at protein level,Low tissue specificity,Detected in all
TAAR2,ENSG00000146378,Q9P1P5,Trace amine associated receptor 2,6,"G-protein coupled receptors, Predicted membrane proteins",Evidence at transcript level,Not detected,Not detected
TAAR6,ENSG00000146383,Q96RI8,Trace amine associated receptor 6,6,"G-protein coupled receptors, Predicted membrane proteins",Evidence at transcript level,Not detected,Not detected
TAAR8,ENSG00000146385,Q969N4,Trace amine associated receptor 8,6,"G-protein coupled receptors, Predicted membrane proteins",Evidence at transcript level,Not detected,Not detected
ABRACL,ENSG00000146386,Q9P1F3,ABRA C-terminal like,6,"Plasma proteins, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
TAAR1,ENSG00000146399,Q96RJ0,Trace amine associated receptor 1,6,"FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins",Evidence at transcript level,Tissue enriched,Detected in single
SLC18B1,ENSG00000146409,Q6NT16,Solute carrier family 18 member B1,6,"Predicted membrane proteins, Transporters",Evidence at protein level,Low tissue specificity,Detected in all
MTFR2,ENSG00000146410,Q6P444,Mitochondrial fission regulator 2,6,"Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,Tissue enhanced,Detected in some
SLC2A12,ENSG00000146411,Q8TD20,Solute carrier family 2 member 12,6,"Metabolic proteins, Predicted membrane proteins, Transporters",Evidence at protein level,Tissue enriched,Detected in many
SHPRH,ENSG00000146414,Q149N8,SNF2 histone linker PHD RING helicase,6,"Enzymes, Metabolic proteins, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
AIG1,ENSG00000146416,Q9NVV5,Androgen induced 1,6,"Predicted intracellular proteins, Predicted membrane proteins, Transporters",Evidence at protein level,Tissue enhanced,Detected in all
DYNLT1,ENSG00000146425,P63172,Dynein light chain Tctex-type 1,6,Predicted intracellular proteins,Evidence at protein level,Low tissue specificity,Detected in all
TIAM2,ENSG00000146426,Q8IVF5,TIAM Rac1 associated GEF 2,6,Predicted intracellular proteins,Evidence at protein level,Tissue enhanced,Detected in many
TMEM181,ENSG00000146433,Q9P2C4,Transmembrane protein 181,6,"Predicted membrane proteins, Transporters",Evidence at protein level,Low tissue specificity,Detected in many
PNLDC1,ENSG00000146453,Q8NA58,PARN like ribonuclease domain containing exonuclease 1,6,"Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted membrane proteins",Evidence at protein level,Tissue enhanced,Detected in some
WTAP,ENSG00000146457,Q15007,WT1 associated protein,6,"Essential proteins, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
ZMYM4,ENSG00000146463,Q5VZL5,Zinc finger MYM-type containing 4,1,Predicted intracellular proteins,Evidence at protein level,Low tissue specificity,Detected in all
VIP,ENSG00000146469,P01282,Vasoactive intestinal peptide,6,"Cancer-related genes, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,Tissue enhanced,Detected in many
ARMT1,ENSG00000146476,Q9H993,Acidic residue methyltransferase 1,6,Predicted intracellular proteins,Evidence at protein level,Low tissue specificity,Detected in all
SLC22A3,ENSG00000146477,O75751,Solute carrier family 22 member 3,6,"Metabolic proteins, Predicted membrane proteins, Transporters",Evidence at protein level,Tissue enhanced,Detected in many
VWDE,ENSG00000146530,Q8N2E2,Von Willebrand factor D and EGF domains,7,"Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,Tissue enhanced,Detected in some
GNA12,ENSG00000146535,Q03113,G protein subunit alpha 12,7,"Human disease related genes, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
C7orf50,ENSG00000146540,Q9BRJ6,Chromosome 7 open reading frame 50,7,Predicted intracellular proteins,Evidence at protein level,Low tissue specificity,Detected in all
SDK1,ENSG00000146555,Q7Z5N4,Sidekick cell adhesion molecule 1,7,"Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,Tissue enhanced,Detected in many
CCZ1B,ENSG00000146574,P86790,"CCZ1 homolog B, vacuolar protein trafficking and biogenesis associated",7,Predicted intracellular proteins,Evidence at protein level,Low tissue specificity,Detected in all
INTS15,ENSG00000146576,Q96N11,Integrator complex subunit 15,7,Predicted intracellular proteins,Evidence at protein level,Low tissue specificity,Detected in all
RBAK,ENSG00000146587,Q9NYW8,RB associated KRAB zinc finger,7,"Metabolic proteins, Predicted intracellular proteins, Transcription factors",Evidence at protein level,Low tissue specificity,Detected in all
CREB5,ENSG00000146592,Q02930,CAMP responsive element binding protein 5,7,"Predicted intracellular proteins, Transcription factors",Evidence at protein level,Low tissue specificity,Detected in many
FERD3L,ENSG00000146618,Q96RJ6,Fer3 like bHLH transcription factor,7,"Predicted intracellular proteins, Transcription factors",Evidence at protein level,Not detected,Not detected
EGFR,ENSG00000146648,P00533,Epidermal growth factor receptor,7,"Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins, RAS pathway related proteins, Transporters",Evidence at protein level,Tissue enhanced,Detected in many
CDCA5,ENSG00000146670,Q96FF9,Cell division cycle associated 5,11,"Essential proteins, Predicted intracellular proteins",Evidence at protein level,Group enriched,Detected in many
IGFBP3,ENSG00000146674,P17936,Insulin like growth factor binding protein 3,7,"Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,Tissue enhanced,Detected in all
PURB,ENSG00000146676,Q96QR8,Purine rich element binding protein B,7,"Predicted intracellular proteins, Transcription factors",Evidence at protein level,Low tissue specificity,Detected in all
IGFBP1,ENSG00000146678,P08833,Insulin like growth factor binding protein 1,7,"Candidate cardiovascular disease genes, Plasma proteins, Predicted secreted proteins",Evidence at protein level,Tissue enriched,Detected in some
SSC4D,ENSG00000146700,Q8WTU2,Scavenger receptor cysteine rich family member with 4 domains,7,Predicted secreted proteins,Evidence at protein level,Tissue enhanced,Detected in some
MDH2,ENSG00000146701,P40926,Malate dehydrogenase 2,7,"Citric acid cycle related proteins, Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,Tissue enhanced,Detected in all
POMZP3,ENSG00000146707,Q6PJE2,POM121 and ZP3 fusion,7,Predicted intracellular proteins,Evidence at protein level,Low tissue specificity,Detected in many
NIPSNAP2,ENSG00000146729,O75323,Nipsnap homolog 2,7,Predicted intracellular proteins,Evidence at protein level,Group enriched,Detected in all
CCT6A,ENSG00000146731,P40227,Chaperonin containing TCP1 subunit 6A,7,"Essential proteins, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
PSPH,ENSG00000146733,P78330,Phosphoserine phosphatase,7,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
TRIM50,ENSG00000146755,Q86XT4,Tripartite motif containing 50,7,"Enzymes, Human disease related genes, Predicted intracellular proteins",Evidence at protein level,Group enriched,Detected in some
ZNF92,ENSG00000146757,Q03936,Zinc finger protein 92,7,"Predicted intracellular proteins, Transcription factors",Evidence at protein level,Low tissue specificity,Detected in many
ATXN7L1,ENSG00000146776,Q9ULK2,Ataxin 7 like 1,7,"Plasma proteins, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
TMEM168,ENSG00000146802,Q9H0V1,Transmembrane protein 168,7,"Predicted intracellular proteins, Predicted membrane proteins, Transporters",Evidence at protein level,Low tissue specificity,Detected in all
ASB15,ENSG00000146809,Q8WXK1,Ankyrin repeat and SOCS box containing 15,7,Predicted intracellular proteins,Evidence at protein level,Tissue enhanced,Detected in some
TRAPPC14,ENSG00000146826,Q8WVR3,Trafficking protein particle complex subunit 14,7,"Disease related genes, Human disease related genes, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
SLC12A9,ENSG00000146828,Q9BXP2,Solute carrier family 12 member 9,7,"Predicted membrane proteins, Transporters",Evidence at protein level,Low tissue specificity,Detected in many
GIGYF1,ENSG00000146830,O75420,GRB10 interacting GYF protein 1,7,Predicted intracellular proteins,Evidence at protein level,Low tissue specificity,Detected in all
TRIM4,ENSG00000146833,Q9C037,Tripartite motif containing 4,7,"Enzymes, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
MEPCE,ENSG00000146834,Q7L2J0,Methylphosphate capping enzyme,7,"Essential proteins, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
ZAN,ENSG00000146839,Q9Y493,Zonadhesin,7,"Essential proteins, Predicted membrane proteins",Evidence at protein level,Not detected,Not detected
TMEM209,ENSG00000146842,Q96SK2,Transmembrane protein 209,7,"Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,Low tissue specificity,Detected in all
AGBL3,ENSG00000146856,Q8NEM8,AGBL carboxypeptidase 3,7,"Enzymes, Predicted intracellular proteins",Evidence at transcript level,Tissue enhanced,Detected in many
STRA8,ENSG00000146857,Q7Z7C7,Stimulated by retinoic acid 8,7,Predicted intracellular proteins,Evidence at protein level,Tissue enhanced,Detected in single
ZC3HAV1L,ENSG00000146858,Q96H79,"Zinc finger CCCH-type containing, antiviral 1 like",7,Predicted intracellular proteins,Evidence at protein level,Low tissue specificity,Detected in many
TMEM140,ENSG00000146859,Q9NV12,Transmembrane protein 140,7,Predicted membrane proteins,Evidence at protein level,Tissue enhanced,Detected in all
TLK2,ENSG00000146872,Q86UE8,Tousled like kinase 2,17,"Disease related genes, Enzymes, Essential proteins, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
EPHA1,ENSG00000146904,P21709,EPH receptor A1,7,"Cancer-related genes, Enzymes, Plasma proteins, Predicted membrane proteins",Evidence at protein level,Group enriched,Detected in many
NOM1,ENSG00000146909,Q5C9Z4,Nucleolar protein with MIF4G domain 1,7,"Essential proteins, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
CNPY1,ENSG00000146910,Q3B7I2,Canopy FGF signaling regulator 1,7,Predicted intracellular proteins,Evidence at transcript level,Group enriched,Detected in some
NCAPG2,ENSG00000146918,Q86XI2,Non-SMC condensin II complex subunit G2,7,"Disease related genes, Essential proteins, Human disease related genes, Predicted intracellular proteins",Evidence at protein level,Tissue enhanced,Detected in all
ASB10,ENSG00000146926,Q8WXI3,Ankyrin repeat and SOCS box containing 10,7,"Disease related genes, Human disease related genes, Predicted intracellular proteins",Evidence at protein level,Tissue enhanced,Detected in some
NLGN4X,ENSG00000146938,Q8N0W4,Neuroligin 4 X-linked,X,"Disease related genes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters",Evidence at protein level,Tissue enhanced,Detected in many
SHROOM2,ENSG00000146950,Q13796,Shroom family member 2,X,"Plasma proteins, Predicted intracellular proteins",Evidence at protein level,Tissue enhanced,Detected in many
RAB19,ENSG00000146955,A4D1S5,"RAB19, member RAS oncogene family",7,Predicted intracellular proteins,Evidence at protein level,Tissue enhanced,Detected in some
LUC7L2,ENSG00000146963,Q9Y383,"LUC7 like 2, pre-mRNA splicing factor",7,"Plasma proteins, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
DENND2A,ENSG00000146966,Q9ULE3,DENN domain containing 2A,7,Predicted intracellular proteins,Evidence at protein level,Low tissue specificity,Detected in many
CLTRN,ENSG00000147003,Q9HBJ8,"Collectrin, amino acid transport regulator",X,"Metabolic proteins, Predicted membrane proteins, Transporters",Evidence at protein level,Tissue enriched,Detected in many
SH3KBP1,ENSG00000147010,Q96B97,SH3 domain containing kinase binding protein 1,X,"Disease related genes, Human disease related genes, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
TMEM47,ENSG00000147027,Q9BQJ4,Transmembrane protein 47,X,"Predicted membrane proteins, Transporters",Evidence at protein level,Tissue enhanced,Detected in many
LANCL3,ENSG00000147036,Q6ZV70,LanC like family member 3,X,Predicted intracellular proteins,Evidence at protein level,Low tissue specificity,Detected in single
SYTL5,ENSG00000147041,Q8TDW5,Synaptotagmin like 5,X,"Plasma proteins, Predicted intracellular proteins",Evidence at protein level,Tissue enhanced,Detected in many
CASK,ENSG00000147044,O14936,Calcium/calmodulin dependent serine protein kinase,X,"Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,Low tissue specificity,Detected in all
KDM6A,ENSG00000147050,O15550,Lysine demethylase 6A,X,"Cancer-related genes, Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
SPIN2A,ENSG00000147059,Q99865,Spindlin family member 2A,X,Predicted intracellular proteins,Evidence at protein level,Low tissue specificity,Detected in many
MSN,ENSG00000147065,P26038,Moesin,X,"Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
AKAP4,ENSG00000147081,Q5JQC9,A-kinase anchoring protein 4,X,Predicted intracellular proteins,Evidence at protein level,Tissue enriched,Detected in single
CCNB3,ENSG00000147082,Q8WWL7,Cyclin B3,X,Predicted intracellular proteins,Evidence at protein level,Group enriched,Detected in some
HDAC8,ENSG00000147099,Q9BY41,Histone deacetylase 8,X,"Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
SLC16A2,ENSG00000147100,P36021,Solute carrier family 16 member 2,X,"Disease related genes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted membrane proteins, Transporters",Evidence at protein level,Tissue enhanced,Detected in many
DIPK2B,ENSG00000147113,Q9H7Y0,Divergent protein kinase domain 2B,X,"Disease related genes, Predicted secreted proteins",Evidence at protein level,Low tissue specificity,Detected in many
ZNF157,ENSG00000147117,P51786,Zinc finger protein 157,X,"Predicted intracellular proteins, Transcription factors",Evidence at protein level,Low tissue specificity,Detected in some
ZNF182,ENSG00000147118,P17025,Zinc finger protein 182,X,"Predicted intracellular proteins, Transcription factors",Evidence at protein level,Low tissue specificity,Detected in all
CHST7,ENSG00000147119,Q9NS84,Carbohydrate sulfotransferase 7,X,"Enzymes, Metabolic proteins, Predicted intracellular proteins",Evidence at protein level,Tissue enhanced,Detected in many
KRBOX4,ENSG00000147121,Q5JUW0,KRAB box domain containing 4,X,Predicted intracellular proteins,Evidence at protein level,Low tissue specificity,Detected in all
NDUFB11,ENSG00000147123,Q9NX14,NADH:ubiquinone oxidoreductase subunit B11,X,"Disease related genes, Human disease related genes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,Tissue enhanced,Detected in all
ZNF41,ENSG00000147124,P51814,Zinc finger protein 41,X,"Disease related genes, Predicted intracellular proteins, Transcription factors",Evidence at protein level,Low tissue specificity,Detected in many
RAB41,ENSG00000147127,Q5JT25,"RAB41, member RAS oncogene family",X,Predicted intracellular proteins,Evidence at protein level,Tissue enriched,Detected in some
ZMYM3,ENSG00000147130,Q14202,Zinc finger MYM-type containing 3,X,"Disease related genes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
TAF1,ENSG00000147133,P21675,TATA-box binding protein associated factor 1,X,"Cancer-related genes, Disease related genes, Enzymes, Essential proteins, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Transcription factors",Evidence at protein level,Low tissue specificity,Detected in all
GPR174,ENSG00000147138,Q9BXC1,G protein-coupled receptor 174,X,"G-protein coupled receptors, Predicted membrane proteins",Evidence at protein level,Tissue enriched,Detected in some
NONO,ENSG00000147140,Q15233,Non-POU domain containing octamer binding,X,"Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors",Evidence at protein level,Low tissue specificity,Detected in all
CCDC120,ENSG00000147144,Q96HB5,Coiled-coil domain containing 120,X,"Cancer-related genes, Predicted intracellular proteins",Evidence at protein level,Tissue enhanced,Detected in many
LPAR4,ENSG00000147145,Q99677,Lysophosphatidic acid receptor 4,X,"G-protein coupled receptors, Predicted intracellular proteins, Predicted membrane proteins, Transporters",Evidence at protein level,Tissue enhanced,Detected in some
EBP,ENSG00000147155,Q15125,EBP cholestenol delta-isomerase,X,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins",Evidence at protein level,Tissue enhanced,Detected in all
AWAT2,ENSG00000147160,Q6E213,Acyl-CoA wax alcohol acyltransferase 2,X,"Enzymes, Metabolic proteins, Predicted membrane proteins",Evidence at protein level,Tissue enriched,Detected in some
OGT,ENSG00000147162,O15294,O-linked N-acetylglucosamine (GlcNAc) transferase,X,"Disease related genes, Enzymes, Essential proteins, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
SNX12,ENSG00000147164,Q9UMY4,Sorting nexin 12,X,Predicted intracellular proteins,Evidence at protein level,Low tissue specificity,Detected in all
ITGB1BP2,ENSG00000147166,Q9UKP3,Integrin subunit beta 1 binding protein 2,X,Predicted intracellular proteins,Evidence at protein level,Tissue enhanced,Detected in many
IL2RG,ENSG00000147168,P31785,Interleukin 2 receptor subunit gamma,X,"Cancer-related genes, CD markers, Disease related genes, FDA approved drug targets, Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,Tissue enhanced,Detected in many
GCNA,ENSG00000147174,Q96QF7,Germ cell nuclear acidic peptidase,X,"Disease related genes, Human disease related genes, Predicted intracellular proteins",Evidence at protein level,Tissue enhanced,Detected in many
ZNF711,ENSG00000147180,Q9Y462,Zinc finger protein 711,X,"Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors",Evidence at protein level,Tissue enhanced,Detected in many
CPXCR1,ENSG00000147183,Q8N123,CPX chromosome region candidate 1,X,Predicted intracellular proteins,Evidence at protein level,Tissue enriched,Detected in single
DIAPH2,ENSG00000147202,O60879,Diaphanous related formin 2,X,"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
